dataset,original_path,relative_path,folder_name,file_name,state,classification_reason
PlantVillage,C:\Users\human-12\Desktop\MLProject\PlantVillage-Dataset\raw\color\Grape___Esca_(Black_Measles)\0075b632-2e34-4e4f-9697-fe2b332b7ef8___FAM_B.Msls 4399.JPG,color\Grape___Esca_(Black_Measles)\0075b632-2e34-4e4f-9697-fe2b332b7ef8___FAM_B.Msls 4399.JPG,Grape___Esca_(Black_Measles),0075b632-2e34-4e4f-9697-fe2b332b7ef8___FAM_B.Msls 4399.JPG,기타,no_matching_keyword
PlantVillage,C:\Users\human-12\Desktop\MLProject\PlantVillage-Dataset\raw\color\Grape___Esca_(Black_Measles)\00b65fe8-cee1-4b68-8ef4-1211814f2845___FAM_B.Msls 3990.JPG,color\Grape___Esca_(Black_Measles)\00b65fe8-cee1-4b68-8ef4-1211814f2845___FAM_B.Msls 3990.JPG,Grape___Esca_(Black_Measles),00b65fe8-cee1-4b68-8ef4-1211814f2845___FAM_B.Msls 3990.JPG,기타,no_matching_keyword
PlantVillage,C:\Users\human-12\Desktop\MLProject\PlantVillage-Dataset\raw\color\Grape___Esca_(Black_Measles)\00c247e8-48d2-4a56-a9f3-4eacfb4d85be___FAM_B.Msls 4197.JPG,color\Grape___Esca_(Black_Measles)\00c247e8-48d2-4a56-a9f3-4eacfb4d85be___FAM_B.Msls 4197.JPG,Grape___Esca_(Black_Measles),00c247e8-48d2-4a56-a9f3-4eacfb4d85be___FAM_B.Msls 4197.JPG,기타,no_matching_keyword
PlantVillage,C:\Users\human-12\Desktop\MLProject\PlantVillage-Dataset\raw\color\Grape___Esca_(Black_Measles)\01162551-b800-4df8-ac46-64d17d6ac5bf___FAM_B.Msls 1153.JPG,color\Grape___Esca_(Black_Measles)\01162551-b800-4df8-ac46-64d17d6ac5bf___FAM_B.Msls 1153.JPG,Grape___Esca_(Black_Measles),01162551-b800-4df8-ac46-64d17d6ac5bf___FAM_B.Msls 1153.JPG,기타,no_matching_keyword
PlantVillage,C:\Users\human-12\Desktop\MLProject\PlantVillage-Dataset\raw\color\Grape___Esca_(Black_Measles)\011bb69d-fb9c-4fb9-b8cc-031e91270ec2___FAM_B.Msls 4288.JPG,color\Grape___Esca_(Black_Measles)\011bb69d-fb9c-4fb9-b8cc-031e91270ec2___FAM_B.Msls 4288.JPG,Grape___Esca_(Black_Measles),011bb69d-fb9c-4fb9-b8cc-031e91270ec2___FAM_B.Msls 4288.JPG,기타,no_matching_keyword
PlantVillage,C:\Users\human-12\Desktop\MLProject\PlantVillage-Dataset\raw\color\Grape___Esca_(Black_Measles)\011f307f-e06b-4604-9419-d940f7b00290___FAM_B.Msls 1096.JPG,color\Grape___Esca_(Black_Measles)\011f307f-e06b-4604-9419-d940f7b00290___FAM_B.Msls 1096.JPG,Grape___Esca_(Black_Measles),011f307f-e06b-4604-9419-d940f7b00290___FAM_B.Msls 1096.JPG,기타,no_matching_keyword
PlantVillage,C:\Users\human-12\Desktop\MLProject\PlantVillage-Dataset\raw\color\Grape___Esca_(Black_Measles)\019afd88-6645-44c4-a5d2-bd583b877a50___FAM_B.Msls 1744.JPG,color\Grape___Esca_(Black_Measles)\019afd88-6645-44c4-a5d2-bd583b877a50___FAM_B.Msls 1744.JPG,Grape___Esca_(Black_Measles),019afd88-6645-44c4-a5d2-bd583b877a50___FAM_B.Msls 1744.JPG,기타,no_matching_keyword
PlantVillage,C:\Users\human-12\Desktop\MLProject\PlantVillage-Dataset\raw\color\Grape___Esca_(Black_Measles)\01c74b8d-1113-47c0-86a3-6ceea27853c0___FAM_B.Msls 4113.JPG,color\Grape___Esca_(Black_Measles)\01c74b8d-1113-47c0-86a3-6ceea27853c0___FAM_B.Msls 4113.JPG,Grape___Esca_(Black_Measles),01c74b8d-1113-47c0-86a3-6ceea27853c0___FAM_B.Msls 4113.JPG,기타,no_matching_keyword
PlantVillage,C:\Users\human-12\Desktop\MLProject\PlantVillage-Dataset\raw\color\Grape___Esca_(Black_Measles)\02223cc6-30d2-408d-a091-65257d044a50___FAM_B.Msls 0908.JPG,color\Grape___Esca_(Black_Measles)\02223cc6-30d2-408d-a091-65257d044a50___FAM_B.Msls 0908.JPG,Grape___Esca_(Black_Measles),02223cc6-30d2-408d-a091-65257d044a50___FAM_B.Msls 0908.JPG,기타,no_matching_keyword
PlantVillage,C:\Users\human-12\Desktop\MLProject\PlantVillage-Dataset\raw\color\Grape___Esca_(Black_Measles)\023df989-ab4c-4f66-a6c8-a41c1142ab7d___FAM_B.Msls 1834.JPG,color\Grape___Esca_(Black_Measles)\023df989-ab4c-4f66-a6c8-a41c1142ab7d___FAM_B.Msls 1834.JPG,Grape___Esca_(Black_Measles),023df989-ab4c-4f66-a6c8-a41c1142ab7d___FAM_B.Msls 1834.JPG,기타,no_matching_keyword
