ID,crop_name_ko,crop_name_en,scientific_name,category,dataset_alias
1,애플망고,Apple Mango,Mangifera indica,과수,apple mango|mango|mangifera|mango leaf|mango leaves
2,파파야,Papaya,Carica papaya,과수,papaya|papaya leaf|papaya leaves
3,용과,Dragon Fruit,Selenicereus undatus,과수,dragon fruit|dragonfruit|pitaya|pitahaya|hylocereus
4,패션후르츠(백향과),Passion Fruit,Passiflora edulis,과수,passion fruit|passionfruit|passiflora edulis|passion flower
5,아보카도,Avocado,Persea americana,과수,avocado|avocado leaf|persea americana
6,구아바,Guava,Psidium guajava,과수,guava|guava leaf|psidium guajava
7,리치,Lychee,Litchi chinensis,과수,lychee|litchi|litchi chinensis|lychee leaf
8,람부탄,Rambutan,Nephelium lappaceum,과수,rambutan|nephelium lappaceum|rambutan leaf
9,망고스틴,Mangosteen,Garcinia mangostana,과수,mangosteen|garcinia mangostana|mangosteen leaf
10,두리안,Durian,Durio zibethinus,과수,durian|durio zibethinus|durian leaf
11,스타후르츠,Star Fruit,Averrhoa carambola,과수,star fruit|starfruit|carambola|averrhoa carambola
12,잭후르츠,Jackfruit,Artocarpus heterophyllus,과수,jackfruit|jack fruit|artocarpus heterophyllus
13,사포딜라,Sapodilla,Manilkara zapota,과수,sapodilla|manilkara zapota|sapota
14,롱간(용안),Longan,Dimocarpus longan,과수,longan|longan fruit|dimocarpus longan
15,체리모야,Cherimoya,Annona cherimola,과수,cherimoya|annona cherimola|custard apple
16,아세로라,Acerola,Malpighia emarginata,과수,acerola|acerola cherry|malpighia emarginata
17,아키,Ackee,Blighia sapida,과수,ackee|akee|blighia sapida
18,페이조아,Feijoa,Acca sellowiana,과수,feijoa|acca sellowiana|pineapple guava
19,자부티카바,Jabuticaba,Plinia cauliflora,과수,jabuticaba|jaboticaba|plinia cauliflora
20,피타야(노란용과),Yellow Dragon Fruit,Selenicereus megalanthus,과수,yellow dragon fruit|yellow pitaya|yellow pitahaya|selenicereus megalanthus
21,노니,Noni,Morinda citrifolia,과수,noni|morinda citrifolia|noni fruit
22,블랙사포테,Black Sapote,Diospyros nigra,과수,black sapote|diospyros nigra|chocolate pudding fruit
23,화이트사포테,White Sapote,Casimiroa edulis,과수,white sapote|casimiroa edulis
24,살락,Salak,Salacca zalacca,과수,salak|snake fruit|salacca zalacca
25,마르멜로(퀸스),Quince,Cydonia oblonga,과수,quince|cydonia oblonga|quince fruit
26,산수유가공용 무화과,Fig,Ficus carica,과수,fig|fig fruit|fig tree|ficus carica|fig leaf
27,카람볼라 바이올렛,Purple Carambola,Averrhoa carambola,과수,purple carambola|carambola|star fruit|starfruit
28,플룸코트,Plumcot,Prunus hybrid,과수,plumcot|plum-apricot hybrid|pluot
29,핑거라임,Finger Lime,Citrus australasica,과수,finger lime|citrus australasica|caviar lime
30,부다스핸드,Buddha's Hand Citron,Citrus medica var. sarcodactylis,과수,buddha hand|buddhas hand|fingered citron|citron|citrus medica
31,오크라,Okra,Abelmoschus esculentus,작물,okra|abelmoschus esculentus|lady finger
32,공심채,Water Spinach,Ipomoea aquatica,작물,water spinach|kangkong|morning glory|ipomoea aquatica
33,여주,Bitter Melon,Momordica charantia,작물,bitter melon|bitter gourd|momordica charantia
34,차요테,Chayote,Sechium edule,작물,chayote|sechium edule|vegetable pear
35,아티초크,Artichoke,Cynara cardunculus var. scolymus,작물,artichoke|globe artichoke|cynara
36,카사바,Cassava,Manihot esculenta,작물,cassava|manioc|yuca|manihot esculenta
37,얌(대마),Yam,Dioscorea spp.,작물,yam|dioscorea|yam root
38,타로,Taro,Colocasia esculenta,작물,taro|colocasia esculenta|taro root
39,자색마,Purple Yam,Dioscorea alata,작물,purple yam|ube|dioscorea alata
40,아라카차,Arracacha,Arracacia xanthorrhiza,작물,arracacha|arracacia xanthorrhiza
41,제이콘(야콘),Yacon,Smallanthus sonchifolius,작물,yacon|smallanthus sonchifolius|yacon root
42,줄기상추(궁채),Stem Lettuce,Lactuca sativa var. angustana,작물,stem lettuce|asparagus lettuce|celtuce|lactuca sativa
43,골든비트,Golden Beet,Beta vulgaris,작물,golden beet|golden beetroot|beet|beta vulgaris
44,로마네스코,Romanesco Broccoli,Brassica oleracea,작물,romanesco|romanesco broccoli|romanesco cauliflower|brassica oleracea
45,아스파라거스 콩,Yardlong Bean,Vigna unguiculata subsp. sesquipedalis,작물,yardlong bean|long bean|asparagus bean|snake bean
46,윙드빈(사각콩),Winged Bean,Psophocarpus tetragonolobus,작물,winged bean|wing bean|psophocarpus tetragonolobus
47,워터체스트넛,Water Chestnut,Eleocharis dulcis,작물,water chestnut|chinese water chestnut|eleocharis dulcis
48,고수,Cilantro,Coriandrum sativum,작물,cilantro|coriander|coriandrum sativum
49,레몬그라스,Lemongrass,Cymbopogon citratus,작물,lemongrass|lemon grass|cymbopogon citratus
50,갈랑갈,Galangal,Alpinia galanga,작물,galangal|greater galangal|alpinia galanga
51,타이바질,Thai Basil,Ocimum basilicum,작물,thai basil|basil|ocimum basilicum
52,커리잎,Curry Leaf,Murraya koenigii,작물,curry leaf|curry leaves|murraya koenigii
53,몰로키아,Molokhia,Corchorus olitorius,작물,molokhia|jute mallow|corchorus olitorius
54,아이스플랜트,Ice Plant,Mesembryanthemum crystallinum,작물,ice plant|crystalline iceplant|mesembryanthemum crystallinum
55,핑거루트,Fingerroot,Boesenbergia rotunda,작물,fingerroot|boesenbergia rotunda|chinese ginger
56,강황,Turmeric,Curcuma longa,작물,turmeric|curcuma longa|turmeric leaf
57,차조기(자소엽),Perilla,Perilla frutescens,작물,perilla|shiso|perilla frutescens|perilla leaf
58,파카야,Pakaya,Unknown / local cultivar,작물,pakaya
59,스네이크고드,Snake Gourd,Trichosanthes cucumerina,작물,snake gourd|snakegourd|trichosanthes cucumerina
60,비터토마토,Bitter Tomato,Solanum aethiopicum,작물,bitter tomato|garden egg|solanum aethiopicum
