ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±ÕÃÖ°í±â¿Â(¡ÆC),Æò±ÕÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â ³ªÅ¸³­³¯(yyyymmdd),ÃÖÀú±â¿Â ³ªÅ¸³­³¯(yyyymmdd),Æò±Õ¼öÁõ±â¾Ð(hPa),ÃÖ°í¼öÁõ±â¾Ð(hPa),ÃÖÀú¼öÁõ±â¾Ð(hPa),ÃÖ°í¼öÁõ±â¾Ð ³ªÅ¸³­³¯(yyyymmdd),ÃÖÀú¼öÁõ±â¾Ð ³ªÅ¸³­³¯(yyyymmdd),Æò±ÕÀÌ½½Á¡¿Âµµ(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),ÃÖ¼Ò»ó´ë½Àµµ(%),ÃÖ¼Ò»ó´ë½Àµµ ³ªÅ¸³­³¯(yyyymmdd),¿ùÇÕ°­¼ö·®(00~24h¸¸)(mm),ÀÏÃÖ´Ù°­¼ö·®(mm),1½Ã°£ÃÖ´Ù°­¼ö·®(mm),10ºÐÃÖ´Ù°­¼ö·®(mm),ÀÏÃÖ´Ù°­¼ö·® ³ªÅ¸³­³¯(yyyymmdd),1½Ã°£ÃÖ´Ù°­¼ö·® ³ªÅ¸³­³¯(yyyymmdd),10ºÐÃÖ´Ù°­¼ö·® ³ªÅ¸³­³¯(yyyymmdd),Æò±ÕÇ³¼Ó(m/s),ÃÖ´ëÇ³¼Ó(m/s),ÃÖ´ë¼ø°£Ç³¼Ó(m/s),ÃÖ´ëÇ³¼Ó Ç³Çâ(16¹æÀ§),ÃÖ´ë¼ø°£Ç³¼Ó Ç³Çâ(16¹æÀ§),ÃÖ´ëÇ³¼Ó ³ªÅ¸³­³¯(yyyymmdd),ÃÖ´ë¼ø°£Ç³¼Ó ³ªÅ¸³­³¯(yyyymmdd),ÃÖ´ÙÇ³Çâ(16¹æÀ§),ÇÕ°è ÀÏÁ¶½Ã°£(hr),ÀÏÁ¶À²(%),ÇÕ°è ÀÏ»ç·®(MJ/m2),ÃÖ½ÉÀû¼³(cm),ÃÖ½É½ÅÀû¼³(cm),3½Ã°£½ÅÀû¼³ÇÕ(cm),ÃÖ½ÉÀû¼³ ³ªÅ¸³­³¯(yyyymmdd),ÃÖ½É½ÅÀû¼³ ³ªÅ¸³­³¯(yyyymmdd)
90,¼ÓÃÊ,2016-01,-1.2,2.7,-5.3,11.5,-16.4,20160102,20160124,2.6,10.6,.3,20160103,20160124,-13.9,43,9,20160123,6.6,3.7,,,20160130,,,2.4,8.7,20,290,290,20160123,20160119,290,191.1,69.39,,,,,,
90,¼ÓÃÊ,2016-02,.8,4.3,-3,10.3,-9.4,20160218,20160202,3.6,9,1,20160213,20160205,-8.5,55,14,20160205,38.3,13.4,,,20160213,,,2.1,8.8,17.5,360,270,20160223,20160219,290,197.6,63.23,,,,,,
90,¼ÓÃÊ,2016-03,7,11.4,2.4,21.5,-7.6,20160329,20160301,5.6,11.6,1.4,20160318,20160301,-2,58,13,20160316,31.8,18.2,,,20160305,,,1.9,8.8,15.4,290,290,20160316,20160316,290,209.6,56.44,,,,,,
90,¼ÓÃÊ,2016-04,12.6,17.8,7.6,29.3,3.6,20160422,20160411,9.1,14.2,2.1,20160421,20160408,5.1,66,10,20160408,77.5,32.3,13.2,2.8,20160416,20160416,20160416,2.3,10.4,23.1,270,290,20160417,20160417,160,222.9,56.22,,,,,,
90,¼ÓÃÊ,2016-05,17.2,22.6,12.5,29,7.3,20160528,20160514,12.5,19.6,5,20160524,20160505,9.8,67,13,20160505,35.7,20.5,2.9,.7,20160510,20160510,20160510,2.2,10.7,26.2,290,290,20160504,20160504,140,261.1,59.06,,,,,,
90,¼ÓÃÊ,2016-06,20.6,24.3,17.5,30.5,12.6,20160617,20160602,19.4,26.3,8.8,20160630,20160604,16.9,82,23,20160604,62.2,30.9,13.6,8.4,20160612,20160612,20160612,1.8,8.8,14.5,360,290,20160605,20160625,360,175.3,39.54,,,,,,
90,¼ÓÃÊ,2016-07,22.9,25.8,20.7,31.9,17,20160729,20160706,24.9,34,19.1,20160730,20160706,20.9,90,55,20160714,477.8,206.4,20.3,8.1,20160705,20160705,20160705,1.3,7.7,11.3,110,290,20160716,20160731,140,119.2,26.47,,,,,,
90,¼ÓÃÊ,2016-08,25.5,29.3,22.1,35.9,15.3,20160813,20160829,26.9,35.6,14.1,20160812,20160831,22,82,47,20160826,186.9,65.4,18.3,10.1,20160828,20160828,20160801,1.6,9.9,17.1,70,320,20160826,20160831,140,220.7,52.3,,,,,,
90,¼ÓÃÊ,2016-09,20.4,23.6,17.5,28.6,13.2,20160901,20160923,20.7,27.2,12.1,20160906,20160923,17.9,87,47,20160925,126,41.8,40,11.7,20160912,20160912,20160912,1.5,7.7,13.6,340,340,20160901,20160901,290,130,34.86,,,,,,
90,¼ÓÃÊ,2016-10,15.3,19,11.5,24.2,3.3,20161017,20161030,13.3,22.7,3.4,20161002,20161031,10.5,75,22,20161031,128.5,52.3,16.6,7.6,20161003,20161003,20161003,1.7,8.1,12.4,360,70,20161029,20161022,290,140.8,40.55,,,,,,
90,¼ÓÃÊ,2016-11,8.4,12.6,4,20.8,-2.5,20161105,20161124,6.9,14.5,1.5,20161114,20161125,.4,60,13,20161102,40.8,17.3,,,20161106,,,1.8,8.3,15.8,70,290,20161105,20161105,290,172.2,56.74,,,,,,
90,¼ÓÃÊ,2016-12,4.4,8.4,.3,14.1,-6.1,20161205,20161228,4.7,13.1,1.2,20161222,20161230,-4.6,56,13,20161202,121.7,36.2,,,20161227,,,1.9,9.9,19.5,290,290,20161201,20161201,290,164.8,55.62,,,,,,
