region,min_temp,max_temp,avg_temp,avg_rhm,annual_rn,ID,crop_name,opt_temp_min,opt_temp_max,frost_limit_temp,opt_humidity,soil_ph_min,soil_ph_max,일량조건,재배난이도(1-5),profit_score,국내시장성(1-5),주요경쟁력_및_특징,opt_temp_avg,temp_diff_from_opt,frost_safety_margin,suitability_score,suitability_grade,suitability
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,1,애플망고,20,30,5,60,5.5,7.5,양지,4,5,5,"고소득 시설재배 대표작물, 높은 국내 소비 선호도",25.0,10.430833333333334,-8.9,0.01,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,2,파파야,22,32,10,70,6.0,7.0,양지,3,4,4,"속성수, 그린파파야 채소용/과일용 다변화 가능",27.0,12.430833333333334,-13.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,3,용과,18,30,2,50,5.5,7.0,양지,2,4,3,"건조에 강한 선인장과, 내건성 및 병충해 강함",24.0,9.430833333333334,-5.9,0.05,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,4,패션후르츠(백향과),18,28,-2,60,5.5,6.5,양지,2,4,4,"저온 견딤성 우수, 가공(청/에이드) 시장성 높음",23.0,8.430833333333334,-1.9,15.08,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,5,아보카도,15,28,-1,65,6.0,7.0,양지,5,5,5,"국내 수입 의존도 높음, 유목기 관리 난이도 높음",21.5,6.930833333333334,-2.9,11.37,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,6,구아바,15,28,0,60,5.0,7.0,양지,2,3,3,"잎과 과일 모두 활용 가능, 병충해 강함",21.5,6.930833333333334,-3.9,6.57,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,7,리치,20,30,-1,70,5.5,6.5,양지,5,4,4,"고가 과일 시장 형성, 결실 관리 까다로움",25.0,10.430833333333334,-2.9,10.09,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,8,람부탄,22,32,12,80,5.5,6.5,양지,5,3,3,"고온 고습 유지 필수, 가열 시설비 부담",27.0,12.430833333333334,-15.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,9,망고스틴,24,35,12,80,5.5,6.5,반음지,5,5,4,"생육 속도 매우 늦음, 고부가가치 과실",29.5,14.930833333333334,-15.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,10,두리안,24,35,10,75,6.0,7.5,양지,5,5,3,"대형 수목, 시설 재배 공간 제한 및 매니아층",29.5,14.930833333333334,-13.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,11,스타후르츠,20,32,5,65,5.5,6.5,양지,3,3,3,"관상적 가치 높음, 고급 디저트 재료",26.0,11.430833333333334,-8.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,12,잭후르츠,20,35,3,70,6.0,7.5,양지,4,4,4,"비건 대체육 시장 급성장, 과실 거대함",27.5,12.930833333333334,-6.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,13,사포딜라,18,32,0,60,6.0,8.0,양지,3,3,2,"토양 적응력 우수, 당도 극상, 희소성",25.0,10.430833333333334,-3.9,5.29,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,14,롱간(용안),18,30,-2,65,5.5,6.5,양지,4,3,3,"한방 약재 및 생과용, 내한성 리치보다 높음",24.0,9.430833333333334,-1.9,14.93,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,15,체리모야,15,25,-2,60,6.5,7.5,양지,4,5,4,"고급 과일 market, 인공수분 필수",20.0,5.430833333333334,-1.9,20.55,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,16,아세로라,20,30,0,65,5.5,6.5,양지,3,4,3,"천연 비타민C 가공 소재, 착과율 관리",25.0,10.430833333333334,-3.9,5.29,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,17,아키,22,32,8,70,6.0,7.0,양지,4,3,2,"특수 에스닉 푸드 시장, 독성 관리 필수",27.0,12.430833333333334,-11.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,18,페이조아,15,26,-10,60,5.5,6.5,양지,1,3,3,"강한 내한성, 노지/난방비 절감 재배 가능",20.5,5.930833333333334,6.1,43.6,1,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,19,자부티카바,15,30,-3,70,5.5,6.5,양지,3,4,3,"특이한 결실 형태, 관상용/체험농장 적합",22.5,7.930833333333334,-0.8999999999999999,20.07,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,20,피타야(노란용과),18,30,2,50,5.5,7.0,양지,3,5,4,"일반 용과 대비 단가 높음, 고당도",24.0,9.430833333333334,-5.9,0.05,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,21,노니,20,32,5,75,5.0,7.0,양지,2,3,3,"건강기능식품 가공용, 특유의 향",26.0,11.430833333333334,-8.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,22,블랙사포테,18,30,0,60,6.0,7.0,양지,3,4,3,"초콜릿 맛 과일, SNS/이색과일 홍보 우수",24.0,9.430833333333334,-3.9,5.33,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,23,화이트사포테,15,28,-3,55,6.0,7.0,양지,2,4,3,"아열대 적응력 좋음, 내한성 양호",21.5,6.930833333333334,-0.8999999999999999,20.97,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,24,살락,22,32,10,75,5.5,6.5,반음지,4,3,2,"야자과 가시 식물, 희귀성 높음",27.0,12.430833333333334,-13.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,25,마르멜로(퀸스),10,25,-15,55,6.0,7.5,양지,1,3,3,"내한성 극상, 잼/청 가공 특화",17.5,2.930833333333334,11.1,70.18,2,1
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,26,산수유가공용 무화과,15,28,-5,60,6.0,7.0,양지,2,3,3,"희소 품종, 가공 기능성",21.5,6.930833333333334,1.1,28.81,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,27,카람볼라 바이올렛,20,32,5,65,5.5,6.5,양지,3,4,3,"자색 변이종, 희귀 시각적 가치",26.0,11.430833333333334,-8.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,28,플룸코트,12,25,-15,55,6.0,7.0,양지,2,4,4,"자두+살구 교잡종, 국내 노지재배 확산 중",18.5,3.930833333333334,11.1,57.43,1,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,29,핑거라임,18,28,-2,60,5.5,6.5,양지,4,5,5,"시트러스 캐비어, 고급 레스토랑 고가 납품",23.0,8.430833333333334,-1.9,15.08,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,30,부다스핸드,15,28,0,60,5.5,6.5,양지,2,4,3,"관상용/향료용, 관상수 판매 가치",21.5,6.930833333333334,-3.9,6.57,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,31,오크라,20,35,10,60,6.0,7.5,양지,1,3,4,"에스닉 푸드 식재료, 재배 매우 용이",27.5,12.930833333333334,-13.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,32,공심채,22,35,10,80,5.5,7.0,양지,1,3,4,"생장 속도 매우 빠름, 다회 수확 가능",28.5,13.930833333333334,-13.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,33,여주,20,32,5,60,6.0,7.0,양지,1,3,4,"건강즙/건조차 시장 정착, 재배 쉬움",26.0,11.430833333333334,-8.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,34,차요테,15,25,0,65,5.5,6.5,양지,2,4,4,"다수확성 덩굴작물, 다용도 채소",20.0,5.430833333333334,-3.9,10.95,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,35,아티초크,12,24,-5,60,6.0,7.5,양지,3,4,4,"고급 서양 채소, 제주/남부 노지 월동 가능",18.0,3.430833333333334,1.1,50.92,1,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,36,카사바,20,32,5,60,5.5,6.5,양지,2,3,3,"구황작물, 구근 수확량 많음",26.0,11.430833333333334,-8.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,37,얌(대마),20,30,5,65,5.5,6.5,양지,3,3,3,"열대성 마, 탄수화물 원료",25.0,10.430833333333334,-8.9,0.01,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,38,타로,20,32,5,75,5.5,6.5,양지,2,3,4,디저트 원료 시장 형성,26.0,11.430833333333334,-8.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,39,자색마,18,30,0,65,5.5,6.5,양지,3,4,3,자색 천연 색소 및 건강 기능성,24.0,9.430833333333334,-3.9,5.33,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,40,아라카차,15,22,0,60,5.5,6.5,양지,4,3,2,"고산지 아열대 작물, 특이 향미",18.5,3.930833333333334,-3.9,22.71,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,41,제이콘(야콘),15,25,-2,60,5.5,6.5,양지,1,3,3,당뇨/다이어트용 올리고당 풍부,20.0,5.430833333333334,-1.9,20.55,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,42,줄기상추(궁채),12,22,-2,60,6.0,7.0,양지,2,4,5,"식당 밑반찬 수요 폭발, 높은 시장성",17.0,2.430833333333334,-1.9,52.28,1,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,43,골든비트,12,22,-3,60,6.0,7.5,양지,1,3,3,"색상 희소성, 샐러드용",17.0,2.430833333333334,-0.8999999999999999,57.08,1,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,44,로마네스코,13,22,-3,65,6.0,7.0,양지,3,4,4,"기하학적 고급 비주얼, 호텔/양식당 납품",17.5,2.930833333333334,-0.8999999999999999,49.86,1,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,45,아스파라거스 콩,20,32,8,60,5.5,6.5,양지,1,3,3,"긴 꼬투리, 다수확 채소",26.0,11.430833333333334,-11.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,46,윙드빈(사각콩),20,32,8,65,5.5,6.5,양지,2,4,3,"단백질 함량 높음, 전초 식용 가능",26.0,11.430833333333334,-11.9,0.0,0,0
강릉,-3.9,33.1,14.569166666666666,58.78333333333333,1442.95,47,워터체스트넛,18,30,2,85,6.0,7.5,양지,3,3,3,"수생 채소, 중식 식재료 수요",24.0,9.430833333333334,-5.9,0.05,0,0
